mf1,mf2,mf3,mf4,mf5,mf6,mf7,mf8,mf9,mf10,mf11,mf12,mf13,mf14,mf15,mf16,mf17,mf18,mf19,mf20,mf21,mf22,mf23,mf24,mf25,mf26,mf27,mf28,mf29,mf30,mf31,mf32,mf33,mf34,mf35,mf36,mf37,mf38,mf39,mf40,mf41,mf42,mf43,mf44,mf45,mf46,mf47,mf48,mf49,mf50,mf51,mf52,mf53,mf54,mf55,mf56,mf57,mf58,mf59,mf60,mf61,mf62,mf63,mf64,mf65,mf66,mf67,mf68,mf69,mf70,mf71,mf72,mf73,mf74,mf75,mf76,mf77,mf78,mf79,mf80,mf81,mf82,mf83,mf84,mf85,mf86,mf87,mf88,mf89,mf90,mf91,mf92,mf93,mf94,mf95,mf96,mf97,mf98,mf99,mf100,mf101,mf102,mf103,mf104,mf105,mf106,mf107,mf108,mf109,mf110,mf111,mf112,mf113,mf114,mf115,mf116,mf117,mf118,mf119,mf120,mf121,mf122,mf123,mf124,mf125,mf126,mf127,mf128,Emotion,code
-693.0697552,55.73456924,-1.919738558,16.40899707,8.449356513,0.220736954,-1.738341333,-4.931289994,-11.98182137,-0.993779484,0.494107277,-2.296897402,0.678700438,-2.939321261,-0.450768186,0.734228675,-4.824006035,-0.67738115,-2.233056043,0.827009448,-5.739731755,-0.604180182,-2.260016608,-4.46630731,-0.877784206,-1.418407092,-5.025465589,1.503264381,-2.507677525,0.355230016,-1.636118188,-2.508108027,-2.30196254,-2.312677149,-3.157205199,-0.676971276,-1.408075107,-2.979329214,-3.307365859,-2.219294958,-4.220641357,-0.255058964,-2.627117002,-2.304762114,-2.550096309,-2.116746521,-2.216084971,0.609158543,-1.713691022,0.12531429,-0.846460617,-0.767155798,-0.3967954,0.427823749,-1.315348116,-0.57509722,-2.00103485,-0.719414966,0.416371831,0.970381009,0.031045859,0.358446118,-1.265861831,-0.551833738,-1.014445764,-0.321111428,0.234859014,-0.406729695,-1.352218052,0.079338033,0.39537416,-0.006364361,-1.155666596,-0.708223924,-0.479069099,-0.335223308,-0.939187643,-0.134631608,-0.185050253,0.001488206,-0.590978226,-0.130981942,-0.737888938,0.135367535,-0.045289346,-0.760898917,-0.662716845,0.250136081,0.010148965,0.135882657,-0.240090214,-0.694972586,-0.806753186,-0.018898284,-0.741509559,-0.390577258,-0.111367705,-0.157307941,-0.372843058,-0.409923997,0.029740823,0.106165934,0.03409835,-0.163887661,-0.383774212,-0.668277083,-0.270028631,-0.349335315,-0.469390752,0.03328828,-0.320159328,-0.308911641,-0.485548264,-0.286325978,0.002303414,-0.193490994,-0.197114046,0.027442639,-0.194310672,-0.154405147,-0.034208849,-0.206119257,-0.089713914,-0.224768487,-0.008534157,-0.064924698,-0.158475614,0.402391534,male_neutral,13
-691.7701941,58.35064711,-0.165160488,13.95212372,5.053322116,1.489325682,-2.397429946,-5.059064801,-10.63800238,-3.34419706,0.264549777,-2.529107453,1.548612652,-3.132303077,-2.285049502,1.17953648,-5.222142788,-2.82803587,-0.169575315,0.328943643,-5.583778556,-0.802507749,-2.178190022,-3.143589185,-1.518861226,-0.1353037,-4.368420915,-0.139229827,-2.353710401,-0.141664961,-1.959963019,-2.001603582,-2.526743401,-1.787501242,-2.874714529,-1.880345432,-1.193675876,-2.646902857,-3.576789326,-2.178029965,-2.88262754,-1.143596516,-2.536252901,-1.78704958,-3.117638049,-2.486858636,-3.541680954,-0.436530455,-2.326444958,0.159392254,-0.979737296,-0.361331318,-0.770199199,0.660755615,-0.660917632,-0.758061779,-2.455549906,-1.470343489,-1.451345053,-0.552979985,-1.515286943,0.306510771,-0.049463535,0.643713483,0.735509884,1.246309022,1.049798061,0.495860907,-1.197026201,0.015121386,0.144156985,0.355045846,-0.144900721,-0.465095292,-0.427846779,-0.099386016,-0.472815324,0.354097641,-0.258645264,-0.336670775,-0.532573988,-0.030456591,-0.349076542,0.188051576,-0.066337876,-0.331075949,-0.485056713,-0.095094591,0.234685824,0.266886685,0.104082897,-0.368841522,-0.792675673,-0.100477882,-0.626035924,-0.281431276,-0.337974208,-0.270054095,-0.458492761,0.128157031,0.047123412,-0.060193143,-0.319023737,-0.146719791,-0.289802008,-0.364376102,-0.135135743,0.205725924,-0.007466636,0.098802421,-0.19996035,-0.51157723,-0.299135556,-0.110042338,-0.578474669,-0.364446186,0.059283448,0.35572265,-0.108568118,-0.313516852,0.044420183,0.116040306,0.005971185,-0.208341695,-0.072198051,0.070630122,0.053838541,-0.091680923,male_neutral,13
-685.2378707,56.23669814,2.45311193,13.56665555,6.701948464,3.341493514,-1.895052708,-6.673817012,-10.67163347,-2.946319915,0.895643665,-1.203600115,0.246569101,-2.46389089,-1.434935776,2.133514558,-4.647729655,-1.760953771,-0.356996344,-0.365473916,-5.056116157,-1.638164285,-1.560512542,-2.452166716,-2.284542483,-0.781734317,-4.355915465,0.174424338,-2.34110613,0.648118585,-2.58444736,-2.01090672,-3.006704974,-2.649249832,-3.361632886,-1.357964739,-1.057094137,-2.373856516,-3.516002703,-3.311254937,-2.989277826,-1.113713415,-2.419176104,-1.991937863,-3.821378057,-3.226750956,-4.844858214,-2.073995977,-3.347275697,-0.241291663,-0.837094924,0.099378943,-0.867063348,1.022310189,-0.836466836,-0.632486702,-2.1291534,-0.326234183,-0.910237272,0.302948331,-0.598833666,-0.581187079,-0.584023776,-0.068339979,-0.247629586,0.667028995,0.351627606,0.234352954,-1.210043688,0.018633929,-0.052676635,0.027347728,-0.861088762,-0.587283073,-0.70280348,-0.023485416,-0.341704133,0.218732864,-0.050778139,-0.291539374,-0.503823951,-0.58825692,-0.033074779,0.33036853,0.186032155,-0.748406387,-0.796818575,-0.352983824,0.04159566,0.363730986,-0.071697375,-0.983215189,-0.822004851,-0.195684541,-0.590465513,-0.42878928,-0.381753068,-0.044452822,-0.202457489,-0.396650858,0.016837713,-0.119815918,-0.411016455,-0.223156142,-0.452114361,-0.106248785,-0.128400445,0.007839274,-0.020543368,-0.186052646,-0.257832801,-0.196099937,-0.112261534,-0.14034154,-0.311285179,-0.208359931,-0.064067006,0.10584008,0.007777946,0.091198289,-0.030246513,0.101690672,-0.016529624,-0.093382152,-0.049796948,-0.132744001,-0.192222081,-0.101630568,male_neutral,13
-727.3179445,62.76439726,2.751275378,15.47325685,7.763115916,2.330714299,-3.641682022,-3.367343648,-10.11307754,-4.470084815,0.639894727,-2.745656546,0.198218942,-2.933763395,-0.75060721,1.924177896,-5.790614283,-0.396636389,-1.509363041,-1.227150801,-4.952541712,-1.020022336,-3.014451559,-4.026153766,-1.985179576,-0.93536507,-5.059108075,1.58793741,-3.278782832,0.751026731,-2.282021495,-1.022448628,-2.078944393,-2.266736797,-1.915979465,-0.282571528,-1.916050554,-1.606608268,-3.960973646,-2.618362426,-3.89075873,-1.21809323,-1.737946743,-0.611781619,-2.333475249,-1.078346943,-2.206318034,-0.472933859,-1.945566453,-0.195340346,-1.730324754,-0.884653265,-2.587457369,-0.719505728,-1.519938044,-0.887978369,-0.979013619,0.11270968,0.270267295,0.49018286,-0.262167394,-0.489796292,-0.510253253,-0.425447944,-1.092059268,0.216431802,-0.037482876,0.423020925,-0.73005777,0.657679364,0.540091147,0.734490578,-0.49061286,-0.314961731,-0.509435542,0.380632878,-0.79254039,-0.52298922,-1.023445517,-0.649107523,-0.211158153,-0.007399447,-0.540755334,-0.158941043,-0.086775369,-0.446646281,-0.485870911,-0.135313281,0.283149614,0.372801475,-0.088149821,-0.621172364,-0.911427289,-0.197184718,-0.351312663,-0.021811093,0.300158615,-0.361235933,-0.932258093,-0.023554131,0.242842777,0.333459028,-0.423666897,-0.354105256,-0.243147622,-0.491868892,-0.210870819,-0.252855927,-0.181569877,-0.106585877,-0.173611709,-0.059071758,-0.379297014,-0.191193586,-0.192173852,-0.079215512,-0.023225808,0.111045715,-0.013604975,-0.185577585,-0.225724133,0.052473787,0.311247953,-0.212259318,0.162972529,0.388472406,0.020750191,-0.0135616,male_calm,9
-707.5534781,67.09772897,1.909364648,11.53098782,9.399661683,1.415026712,-4.764856333,-4.333333713,-8.645219034,-4.472896453,1.429520666,-2.048402649,-0.518560296,-3.154830669,-1.874219187,1.409091042,-5.194606593,-1.879914284,-1.060161652,-1.154804536,-4.855592554,-1.521023439,-2.799197361,-4.042380587,-2.335255187,-1.163191039,-4.612094795,0.477063073,-3.031882285,0.371769541,-3.52039945,-2.190321953,-3.513352014,-3.311692752,-3.862281545,-1.153297916,-2.193063788,-2.991857077,-4.341942362,-4.024739617,-3.396962886,-0.641069552,-2.411537029,-0.482723992,-2.768474792,-1.916843263,-3.317970008,-1.402359208,-2.983791374,-1.106483104,-2.204285874,-1.927121388,-2.748511145,-0.364716618,-1.086014751,-0.916707235,-2.386894032,-1.224987162,-2.026924952,-1.116999071,-1.822930039,-1.077062886,-0.337818774,0.543882194,-0.210111425,1.223184723,0.501394185,0.212453726,-0.996602305,0.848853137,0.937332123,1.168724279,0.312345933,0.497903928,0.020095281,-0.038608564,-0.559503307,0.452008027,0.213503845,0.441386858,-0.45720595,-0.160802102,-0.204240033,0.826933886,0.380568842,-0.335857197,-0.426728909,0.176785778,0.319114776,0.50239949,-0.222694258,-0.798738773,-0.815980083,-0.099665784,-0.420693364,-0.479436611,-0.102553029,-0.27040729,-0.64170542,-0.317087125,-0.231549331,-0.028123456,0.206857785,-0.231804234,0.083976815,-0.010286184,0.280478298,0.311475835,0.090214505,-0.112083011,-0.150078514,-0.111145563,-0.304130359,-0.080179789,-0.154564577,0.107648944,0.094976014,-0.142977917,-0.044588413,0.023900473,-0.054684248,0.020609593,0.164893698,0.486951105,0.3245032,0.108781961,0.332289329,0.164631674,male_calm,9
-697.4039103,65.5138,0.525357556,14.03812159,5.554950525,3.295453092,-1.740744782,-4.380754789,-9.062699709,-4.166158555,1.589582479,-1.251473657,1.058002209,-4.150174248,1.130167988,0.466850899,-6.626173081,-2.313127256,-0.395002824,-1.412090578,-6.190832025,-1.200619166,-2.577041963,-2.979065727,-2.592515445,-0.798895708,-5.660618463,1.12771188,-4.050688767,0.095491371,-3.33607651,-1.569387699,-2.722660105,-2.954425696,-4.367538808,-1.892306463,-2.294710232,-2.196727934,-4.8632938,-2.778464851,-3.324521939,-1.576360594,-3.437341766,-1.155491641,-4.183410938,-3.057160252,-3.950502253,-2.23286241,-2.975474715,-2.397461159,-3.187831642,-2.841103053,-3.514565889,-1.661237349,-1.569948129,-0.605407122,-1.507688605,-0.434097362,-1.520679504,0.172472685,-0.783683055,0.488144955,0.675148041,2.140740322,0.421511358,0.893400023,-0.231557138,1.093498651,-0.221907572,0.32057258,0.268709015,1.246899968,-0.414479911,-0.232537523,-0.192872744,0.822915765,0.399817044,-0.056911809,-0.388582997,-0.074139378,-0.398846104,0.376342622,0.245073905,0.076985396,-0.142564183,-0.079012938,-0.623309535,-0.215922137,-0.364801724,0.54024523,-0.094099384,-0.517345843,-0.799651378,-0.460117428,-0.436426894,-0.587210912,-0.448647891,-0.074560657,-0.39671047,-0.21148503,0.206933333,0.095587277,-0.131023882,0.10407729,0.041234257,-0.116492257,0.15859653,0.297655498,-0.273447133,0.246760135,0.139006801,0.042601357,-0.127134577,-0.39745226,-0.19336902,0.283365105,-0.138029384,0.093572784,-0.026850874,-0.213315873,0.071602785,0.089674878,-0.000167221,0.17025837,0.05468456,-0.041687407,0.274816636,0.146381858,male_calm,9
-698.8539072,69.10642917,0.725410483,14.0907339,7.961054378,2.463774554,-0.994342389,-5.345838458,-8.234461209,-4.035144783,0.647650119,-1.339194818,1.241420601,-3.243602269,0.268661508,1.521419594,-5.777015055,-1.537542376,-0.75797941,-0.729111829,-6.624097971,-1.22539034,-2.627657625,-1.79192779,-2.819725386,-0.387577367,-4.58031158,0.392867632,-4.043074487,0.262616751,-3.661613952,-1.564440002,-2.403896591,-2.460322054,-3.646586852,-1.661129642,-1.336029408,-2.255606059,-3.591556837,-3.258912153,-3.19583073,-1.769241472,-2.920185064,-1.469082384,-4.775278527,-3.254472412,-4.559149469,-2.646801044,-3.906865039,-2.373050217,-3.896163487,-3.214443608,-3.428554319,-1.221945144,-1.360714065,0.03751486,-1.701246243,-0.775980139,-0.782947129,0.245237932,-0.081153973,0.744245386,1.054370315,2.225013533,1.156217818,0.484918368,0.260705391,1.016927347,0.051840045,0.125914239,-0.125624814,1.284503183,-0.153598611,-0.508114687,-0.309204951,0.452264723,0.225484762,0.101828005,-0.952446473,-0.367212882,-0.808263078,0.239275353,0.035486135,-0.277595779,-0.754254769,-0.231210954,-0.527572467,-0.422915579,-0.316393858,-0.176626529,-0.217689513,-0.249475329,-0.842102666,-0.515095443,-0.430191161,-0.070755252,-0.334366742,0.19899218,-0.627484958,-0.435676364,-0.137723751,-0.35052911,-0.141063641,0.250825977,-0.20808161,-0.48076955,0.065019668,0.286755714,-0.035272188,0.053993304,0.110351481,-0.049135394,-0.010160867,-0.245864001,0.156309618,0.080158943,0.022633722,-0.144443514,-0.06455488,-0.102877315,0.140948061,0.068700838,0.051730782,0.277612939,-0.153686286,-0.154721168,0.15706339,0.10572722,male_calm,9
-734.3849815,70.98157683,3.789530283,14.32481369,8.859694476,2.308805219,-4.110329413,-2.40955401,-6.710663626,-4.011647387,1.644352378,0.439188409,-0.52450665,-3.327777983,-0.188461423,0.864488216,-2.210990413,-2.192018838,-0.717927542,1.406384419,-7.339342114,0.332693784,-2.985642544,-3.636981784,-2.213962966,-0.519268424,-3.537971996,1.236170299,-3.498836447,0.389694256,-3.747239354,-2.684960955,-4.009983089,-1.920432751,-5.480201001,0.637333208,-3.029064346,-2.30671065,-4.954854187,-3.101470942,-2.875145579,-1.438385237,-3.000834738,-1.34391518,-4.248077405,-3.301257196,-3.833613696,-1.791299238,-3.167130392,-2.168303973,-3.262898512,-2.285329618,-3.830968766,-1.366217935,-2.387447132,-1.532009382,-2.659896503,-0.387999099,-1.060001994,-0.612462182,-0.995442873,-1.371238267,-1.492925134,-1.133423234,-1.634941202,-0.030515791,0.032413162,0.789764586,0.223336641,1.805846638,2.062127579,1.807486632,0.267505463,1.036853167,0.300547491,1.083744298,0.380082313,0.310563416,-0.086983222,0.285528097,0.149729219,0.529427102,0.242932532,0.916376458,0.356386949,-0.668536697,-0.297333989,-0.032251478,-0.467938165,0.349424583,-0.283354466,-0.566421331,-0.19416446,-0.179255801,-0.872945171,-0.405434105,0.099723077,-0.111322693,-0.759751,-0.232029495,0.004605918,0.37527399,-0.091037716,-0.075270749,-0.360831339,-0.146820539,0.098362136,0.168895324,0.070086837,0.279188129,-0.09586314,-0.264126446,0.180457654,-0.026359413,-0.197909885,0.179170108,0.545241261,0.224233614,-0.107325183,-0.086805481,0.095757534,0.060148544,-0.138716701,-0.081445584,-0.078786313,-0.086991995,-0.114965507,0.157864112,male_calm,9
-698.0932926,67.79178972,-0.900856635,12.33658951,6.449859465,1.020394459,-4.993831789,-5.584002793,-8.369480067,-4.441402049,2.250739763,-1.046127803,-1.51840596,-4.276840772,-0.50040249,-0.487735293,-4.399425011,-1.856363048,-1.112915663,0.095366396,-6.736347973,0.438466455,-2.500282923,-3.364181375,-2.686877701,-1.260890838,-4.853308708,0.371448227,-2.971517674,-0.430093582,-4.196713642,-2.244032095,-4.448571265,-2.706187763,-5.435178347,-0.989085972,-2.261485049,-2.132831714,-4.564297612,-3.320899706,-3.524018686,-1.800058567,-3.123659839,-1.878435974,-4.211805812,-3.126166216,-4.554790868,-2.187918164,-2.945948416,-1.580506656,-1.286754136,-0.760858571,-1.835265892,0.237144255,-0.671500701,-0.187420473,-2.409243345,-0.479256079,-0.897271358,0.442144239,-0.96768275,0.123847419,-0.199254091,0.582132637,-0.374357837,1.356726197,0.805029113,1.133707934,-0.21907764,1.006543731,0.8146042,0.861900399,-0.431894284,0.557035183,0.309546113,0.890005277,0.092263461,0.063908783,0.057999909,0.082332769,-0.114941866,0.085636387,-0.399000033,0.453500496,0.433018936,-0.094865728,-0.528334356,-0.156852631,0.104564126,0.54972254,-0.197233264,-0.772326663,-0.743657256,0.113162254,-0.597637373,-0.430510767,-0.097957092,0.02254486,-0.132451226,-0.04265039,0.448621125,0.454290823,0.23768193,-0.056449954,-0.159954804,-0.228559811,0.257647182,0.266658918,0.263986408,0.11001709,-0.175760797,0.043624546,-0.212534564,-0.002509907,-0.337948802,0.173231938,-0.020956597,-0.173323233,-0.080765447,0.062044586,0.055931848,-0.093998462,0.006694998,0.227817668,0.286714876,-0.154357885,0.106211584,0.460506594,male_calm,9
-704.6942431,69.36788044,4.208248663,12.46401886,5.158592774,6.381874552,-5.335752535,-4.355042987,-8.794273904,-4.403317168,1.832577279,1.697258922,0.126110483,-3.569221945,1.296900543,-0.411296217,-4.766838082,-1.565028838,-2.058300658,-0.013833588,-7.726364572,0.059779295,-1.657294236,-4.237821635,-2.750961298,0.715814422,-5.413518359,1.716396687,-4.669905478,0.245021511,-4.286703177,-1.876542716,-3.095289608,-2.662542229,-4.594722083,-0.196817992,-1.843074164,-3.158223125,-4.979186068,-2.64340402,-4.437704003,-0.60603455,-3.760706865,-1.923635378,-4.148835592,-4.045923125,-4.157902295,-2.067023782,-4.246887271,-1.76456898,-3.889560414,-3.500944987,-3.698121961,-0.394783063,-1.669532376,0.86448566,0.591835711,2.949183931,2.995159936,3.394669347,1.375343424,2.478750994,1.042954509,1.534333659,-0.091888162,0.572389276,0.198725469,1.278952668,-0.180877206,1.50323864,1.084388962,0.689169379,-0.831053614,0.266695455,-0.650694836,-0.071394518,-1.235630499,-0.975811026,-0.815205187,-0.05666492,-0.318750561,0.021624448,-0.606246289,-0.030190002,-0.287595475,-0.891118235,-0.877270469,0.055753046,-0.530884898,-0.158688922,-0.348944985,-0.821679138,-0.871491037,-0.511162169,-1.185437219,-0.712762215,-0.232357135,-0.675178172,-0.792247033,-0.369123593,-0.158694598,0.394440051,-0.091218745,-0.242048006,-0.488944158,-0.333230122,0.086490518,-0.015751671,0.285892107,0.207164989,-0.133642902,-0.033541026,-0.046473168,-0.228825467,-0.305038449,-0.074043655,-0.002821927,-0.24545381,-0.365906942,-0.08944809,-0.39438041,-0.302993086,-0.086730143,-0.244565726,-0.05653988,-0.29538017,-0.00023265,0.150793979,male_calm,9
